"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"ACCOUNT_BUDGET"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"ACCOUNT_BUDGET"	"2"	"account_id"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"ACCOUNT_BUDGET"	"3"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"ACCOUNT_BUDGET"	"4"	"acct_year"	"decimal"	"NULL"	"4"	"0"	"NO"	"NO"	"NO"
"ACCOUNT_BUDGET"	"5"	"acct_period"	"decimal"	"NULL"	"2"	"0"	"NO"	"NO"	"NO"
"ACCOUNT_BUDGET"	"6"	"budget_type"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"ACCOUNT_BUDGET"	"7"	"budget_code"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"ACCOUNT_BUDGET"	"8"	"currency_id"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"ACCOUNT_BUDGET"	"9"	"budget_dr_amount"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"ACCOUNT_BUDGET"	"10"	"budget_cr_amount"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"ACCOUNT_BUDGET"	"11"	"FLAG"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
