"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"ADV_SHIP_NOTICE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"ADV_SHIP_NOTICE"	"2"	"id"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"3"	"bol_id"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"4"	"customs_doc_id"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"5"	"exped_trans_code"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"6"	"carrier_id"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"7"	"exped_trans_auth"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"8"	"lading_code"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"9"	"lading_quantity"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"10"	"trans_method_code"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"11"	"shipment_id"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"12"	"equipment_descr"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"13"	"equipment_initial"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"14"	"air_pro_type"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"15"	"air_pro_number"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"16"	"asn_on_hold"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"17"	"asn_transmitted"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"18"	"user_1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"19"	"user_2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"20"	"user_3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"21"	"user_4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"22"	"user_5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"23"	"user_6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"24"	"user_7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"25"	"user_8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"26"	"user_9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"27"	"user_10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"28"	"UDF_LAYOUT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"29"	"EDI_TRANSMITTED_BY"	"nvarchar"	"8"	"0"	"0"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"30"	"EDI_TRANSMIT_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"ADV_SHIP_NOTICE"	"31"	"MASTER_BOL_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
