"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"APPLICATION_USER"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"APPLICATION_USER"	"2"	"NAME"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"APPLICATION_USER"	"3"	"PO_STATUS_ALLOWED"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"4"	"CO_STATUS_ALLOWED"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"5"	"WO_STATUS_ALLOWED"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"6"	"IS_PLANNER"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"APPLICATION_USER"	"7"	"IS_BUYER"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"APPLICATION_USER"	"8"	"DEFAULT_SHIP_ADDR"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"9"	"QT_STATUS_ALLOWED"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"10"	"SH_STATUS_ALLOWED"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"11"	"PHYS_COUNT_ALLOWED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"12"	"LOCK_WARN_CO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"13"	"LOCK_WARN_WO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"14"	"LOCK_WARN_PO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"15"	"LOCK_WARN_IV"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"16"	"LOCK_WARN_SH"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"17"	"LOCK_WARN_RV"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"18"	"LOCK_WARN_SV"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"19"	"LOCK_WARN_LA"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"20"	"ECN_STATUS_ALLOWED"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"21"	"PR_STATUS_ALLOWED"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"24"	"PASS_LAST_CHANGED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"28"	"EDIT_BRWSE_ALLOWED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"29"	"USER_PWD"	"nvarchar"	"90"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"30"	"LAST_FAILED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"31"	"FAILED_COUNT"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"32"	"IS_PROFILE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"33"	"IS_ADMIN"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"34"	"WINDOWS_SID"	"nvarchar"	"100"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"35"	"VISUAL_USER_GROUP_SID"	"nvarchar"	"100"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"36"	"WINDOWS_DOMAIN_NAME"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"37"	"WINDOWS_DOMAIN_SID"	"nvarchar"	"100"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"38"	"IS_VISUAL_USER"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"APPLICATION_USER"	"39"	"IS_CRM_USER"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"APPLICATION_USER"	"40"	"PLM_USER_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"APPLICATION_USER"	"41"	"IS_MOBILE_LABOR_USER"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"APPLICATION_USER"	"42"	"IS_MOBILE_MATERIAL_USER"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
