"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"APP_CONFIG_ITEM"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"APP_CONFIG_ITEM"	"2"	"ID"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"APP_CONFIG_ITEM"	"3"	"APP_CONFIG_ID"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"APP_CONFIG_ITEM"	"4"	"CAPTION"	"nvarchar"	"100"	"0"	"0"	"NO"	"NO"	"NO"
"APP_CONFIG_ITEM"	"5"	"ITEM_TYPE"	"nvarchar"	"100"	"0"	"0"	"NO"	"NO"	"NO"
"APP_CONFIG_ITEM"	"6"	"PARENT_ITEM_ID"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"APP_CONFIG_ITEM"	"7"	"POS_X"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"APP_CONFIG_ITEM"	"8"	"POS_Y"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"APP_CONFIG_ITEM"	"9"	"WIDTH"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"APP_CONFIG_ITEM"	"10"	"HEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"APP_CONFIG_ITEM"	"11"	"ITEM_STATE"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"APP_CONFIG_ITEM"	"12"	"ITEM_FOCUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"APP_CONFIG_ITEM"	"13"	"CONFIG"	"image"	"NULL"	"0"	"0"	"YES"	"NO"	"NO"
