"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"BANK_ADJ_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"BANK_ADJ_LINE"	"2"	"BANK_ACCOUNT_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"BANK_ADJ_LINE"	"3"	"ADJUSTMENT_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"BANK_ADJ_LINE"	"4"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"BANK_ADJ_LINE"	"5"	"GL_ACCOUNT_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"BANK_ADJ_LINE"	"6"	"AMOUNT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"BANK_ADJ_LINE"	"7"	"REFERENCE"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"BANK_ADJ_LINE"	"8"	"USER_DIMENSION_1"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"BANK_ADJ_LINE"	"9"	"USER_DIMENSION_2"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"BANK_ADJ_LINE"	"10"	"CUST_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"BANK_ADJ_LINE"	"11"	"PRODUCT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
