"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"BUFFER"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"BUFFER"	"2"	"ID"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"BUFFER"	"3"	"CCR_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER"	"4"	"TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER"	"5"	"STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER"	"6"	"BUFFER_FACTOR"	"decimal"	"NULL"	"7"	"1"	"NO"	"NO"	"NO"
"BUFFER"	"7"	"BUFFER_SIZE"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"BUFFER"	"8"	"SERVICE_TIME"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"BUFFER"	"9"	"COVERED_SETUP"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"BUFFER"	"10"	"COVERED_RUN"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"BUFFER"	"11"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER"	"12"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER"	"13"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER"	"14"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER"	"15"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER"	"16"	"OPERATION_SEQ_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"BUFFER"	"17"	"PIECE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"BUFFER"	"18"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"BUFFER"	"19"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"BUFFER"	"20"	"MODIFIED_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"BUFFER"	"21"	"BUFFER_STATUS"	"decimal"	"NULL"	"5"	"1"	"YES"	"NO"	"NO"
"BUFFER"	"22"	"BUFFER_STATUS_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"BUFFER"	"23"	"PROBLEM_CLASS"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"BUFFER"	"24"	"PROBLEM_DESCR"	"image"	"NULL"	"0"	"0"	"YES"	"NO"	"NO"
"BUFFER"	"25"	"CLOSE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"BUFFER"	"26"	"EMERGENCY_ZONE"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"BUFFER"	"27"	"YELLOW_ZONE"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"BUFFER"	"28"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER"	"29"	"WAREHOUSE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"BUFFER"	"30"	"WHS_INDEPENDENT"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"BUFFER"	"31"	"END_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"BUFFER"	"32"	"GEN_END_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
