"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"BUFFER_PROFILE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"BUFFER_PROFILE"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER_PROFILE"	"3"	"DESCRIPTION"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"BUFFER_PROFILE"	"4"	"ITEM_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"BUFFER_PROFILE"	"5"	"LEADTIME_CATEGORY"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"BUFFER_PROFILE"	"6"	"LEADTIME_GREEN_PCT"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"BUFFER_PROFILE"	"7"	"LEADTIME_RED_PCT"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"BUFFER_PROFILE"	"8"	"VARIABILITY_CATEGORY"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"BUFFER_PROFILE"	"9"	"VAR_RED_SAFETY_PCT"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"BUFFER_PROFILE"	"10"	"USE_SIG_MOQ_GREEN"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"BUFFER_PROFILE"	"11"	"ORDER_SPIKE_THRESH"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"BUFFER_PROFILE"	"12"	"ORDER_SPIKE_HORIZON"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"BUFFER_PROFILE"	"13"	"ADU_HORIZON_FACTOR"	"decimal"	"NULL"	"5"	"2"	"YES"	"NO"	"NO"
"BUFFER_PROFILE"	"14"	"ADU_ALERT_THRESH"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"BUFFER_PROFILE"	"15"	"ADU_ALERT_HORIZON"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"BUFFER_PROFILE"	"16"	"ONHAND_ALERT_RED_PCT"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
