"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"BUFFER_STAT_WO_LOC"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"BUFFER_STAT_WO_LOC"	"2"	"BUFFER_STATUS_ID"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"BUFFER_STAT_WO_LOC"	"3"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER_STAT_WO_LOC"	"4"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER_STAT_WO_LOC"	"5"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER_STAT_WO_LOC"	"6"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER_STAT_WO_LOC"	"7"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"BUFFER_STAT_WO_LOC"	"8"	"OPERATION_SEQ_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"BUFFER_STAT_WO_LOC"	"9"	"RESOURCE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"BUFFER_STAT_WO_LOC"	"10"	"RES_PROCESSING_OP"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
