"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"CARTON"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"CARTON"	"2"	"ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"CARTON"	"3"	"BOL_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"4"	"PALLET_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"5"	"CARRIER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"6"	"CONTAINER_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"7"	"TRACKING_NO"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"8"	"PACKAGE_TYPE"	"nvarchar"	"5"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"9"	"TOTAL_WEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"CARTON"	"10"	"USER_TOTAL_WEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"CARTON"	"11"	"ACT_FREIGHT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"CARTON"	"12"	"LENGTH"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"CARTON"	"13"	"WIDTH"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"CARTON"	"14"	"HEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"CARTON"	"15"	"DIM_WEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"CARTON"	"16"	"CALC_SIZE"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"CARTON"	"17"	"COD"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"18"	"CASH_ONLY"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"19"	"ADD_HANDLING"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"20"	"DEL_CONFIRM"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"21"	"SIGNATURE_REQ"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"22"	"REQ_SPEC_REPLY"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"23"	"VERBAL_CONFIRM"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"24"	"FAX_POD"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"25"	"HAZARDOUS_MAT"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"26"	"SAT_PICKUP_DEL"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"27"	"ELECTRIC_CALL_TAG"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"28"	"CALL_TAG"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"29"	"HANDLING_CHARGE"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"CARTON"	"30"	"COD_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"CARTON"	"31"	"MANIFESTED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"32"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"CARTON"	"33"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"CARTON"	"34"	"IS_LETTER"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"35"	"NON_DUTY"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"36"	"DOCUMENT_ONLY"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"37"	"INVOICE_GEN"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"38"	"INVOICE_REQ"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"39"	"POWER_OF_ATTORNEY"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"40"	"EXPORT_DECLARATION"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"41"	"CERT_OF_ORIGIN"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CARTON"	"42"	"DECLARED_VALUE"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"CARTON"	"43"	"SURCHARGE"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"CARTON"	"44"	"DESCRIPTION"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
