"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"CASH_PLAN"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"CASH_PLAN"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"CASH_PLAN"	"3"	"DESCRIPTION"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"4"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"5"	"CURRENCY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"6"	"BEGINNING_BALANCE"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"CASH_PLAN"	"7"	"STATUS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"8"	"ACT_UPDATED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"CASH_PLAN"	"9"	"ACT_FIRST_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"CASH_PLAN"	"10"	"ACT_LAST_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"CASH_PLAN"	"11"	"PRJ_UPDATED"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"CASH_PLAN"	"12"	"PRJ_FIRST_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"CASH_PLAN"	"13"	"PRJ_LAST_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"CASH_PLAN"	"14"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"CASH_PLAN"	"15"	"AR_INCLUDED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"16"	"AR_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"17"	"AR_SAMPLES"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"18"	"AR_TERMS_PLUS"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"19"	"AR_DAYS"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"20"	"AR_CLIP_BEFORE"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"21"	"AR_CLIP_AFTER"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"22"	"CO_INCLUDED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"23"	"CO_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"24"	"CO_SAMPLES"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"25"	"CO_CLIP_BEFORE"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"26"	"CO_CLIP_AFTER"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"27"	"AP_INCLUDED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"28"	"AP_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"29"	"AP_TERMS_PLUS"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"30"	"AP_DAYS"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"31"	"PO_INCLUDED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"32"	"PO_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"33"	"PO_SAMPLES"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"34"	"PO_INVOICE_DELAY"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"35"	"PO_CLIP_BEFORE"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CASH_PLAN"	"36"	"FIN_CAL_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
