"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"CHART_FACTORS"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"CHART_FACTORS"	"2"	"SUBGROUP_SIZE"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"CHART_FACTORS"	"3"	"A1"	"decimal"	"NULL"	"14"	"8"	"NO"	"NO"	"NO"
"CHART_FACTORS"	"4"	"A2"	"decimal"	"NULL"	"14"	"8"	"NO"	"NO"	"NO"
"CHART_FACTORS"	"5"	"A3"	"decimal"	"NULL"	"14"	"8"	"NO"	"NO"	"NO"
"CHART_FACTORS"	"6"	"C4"	"decimal"	"NULL"	"14"	"8"	"NO"	"NO"	"NO"
"CHART_FACTORS"	"7"	"B3"	"decimal"	"NULL"	"14"	"8"	"NO"	"NO"	"NO"
"CHART_FACTORS"	"8"	"B4"	"decimal"	"NULL"	"14"	"8"	"NO"	"NO"	"NO"
"CHART_FACTORS"	"9"	"LD2"	"decimal"	"NULL"	"14"	"8"	"NO"	"NO"	"NO"
"CHART_FACTORS"	"10"	"D3"	"decimal"	"NULL"	"14"	"8"	"NO"	"NO"	"NO"
"CHART_FACTORS"	"11"	"D4"	"decimal"	"NULL"	"14"	"8"	"NO"	"NO"	"NO"
