"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"CONSIGN_RCVR_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"CONSIGN_RCVR_LINE"	"2"	"RECEIVER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"3"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"4"	"PURC_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"5"	"PURC_ORDER_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"6"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"7"	"USER_RECEIVED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"8"	"RECEIVED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"9"	"WAREHOUSE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"10"	"LOCATION_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"11"	"TRANSACTION_ID"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"12"	"PIECE_COUNT"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"13"	"LENGTH"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"14"	"WIDTH"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"15"	"HEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"16"	"DIMENSIONS_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"17"	"REJECTED_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"18"	"HTS_CODE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"19"	"ORIG_COUNTRY_ID"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"CONSIGN_RCVR_LINE"	"20"	"GROSS_WEIGHT"	"decimal"	"NULL"	"15"	"4"	"YES"	"NO"	"NO"
