"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"CONTACT"	"1"	"ID"	"nvarchar"	"25"	"0"	"0"	"NO"	"NO"	"NO"
"CONTACT"	"2"	"FIRST_NAME"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"3"	"LAST_NAME"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"4"	"MIDDLE_NAME"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"5"	"MIDDLE_INITIAL"	"nvarchar"	"2"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"6"	"POSITION"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"7"	"SALUTATION"	"nvarchar"	"60"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"8"	"HONORIFIC"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"9"	"COUNTRY_DIAL_CODE"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"10"	"PHONE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"11"	"PHONE_EXT"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"12"	"FAX"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"13"	"MOBILE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"14"	"EMAIL"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"15"	"ADDR_1"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"16"	"ADDR_2"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"17"	"ADDR_3"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"18"	"CITY"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"19"	"STATE"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"20"	"ZIPCODE"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"21"	"COUNTRY"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"22"	"WEB_USER_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"23"	"WEB_PASSWORD"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"24"	"PREFERRED_CONTACT_METHOD"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"25"	"GENDER_CODE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"CONTACT"	"26"	"MARITAL_STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"CONTACT"	"27"	"BIRTH_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"CONTACT"	"28"	"USER_1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"29"	"USER_2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"30"	"USER_3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"31"	"USER_4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"32"	"USER_5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"33"	"USER_6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"34"	"USER_7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"35"	"USER_8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"36"	"USER_9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"37"	"USER_10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"38"	"NO_CALL_PHONE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"CONTACT"	"39"	"NO_CALL_MOBILE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"CONTACT"	"40"	"NO_EMAIL"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"CONTACT"	"41"	"URL_TWITTER"	"nvarchar"	"255"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"42"	"URL_FACEBOOK"	"nvarchar"	"255"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"43"	"URL_MYSPACE"	"nvarchar"	"255"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"44"	"URL_LINKEDIN"	"nvarchar"	"255"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"45"	"URL_HYVES"	"nvarchar"	"255"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"46"	"ACTIVE_FLAG"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"47"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"CONTACT"	"48"	"CONTACT_COUNTRY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CONTACT"	"49"	"UDF_LAYOUT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
