"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"CO_PRODUCT"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"CO_PRODUCT"	"2"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"3"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"4"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"5"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"6"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"7"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"8"	"MAT_COST_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"9"	"DESIRED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"10"	"RECEIVED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"11"	"LINE_STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"12"	"LAB_COST_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"13"	"BUR_COST_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"14"	"SER_COST_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"15"	"WAREHOUSE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CO_PRODUCT"	"16"	"WIP_VAS_REQUIRED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CO_PRODUCT"	"17"	"ALLOCATED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"18"	"FULFILLED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"CO_PRODUCT"	"19"	"QTY_IS_RATIO"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CO_PRODUCT"	"20"	"QTY_PER"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"CO_PRODUCT"	"21"	"STATUS_EFF_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
