"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"CURRENCY"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"CURRENCY"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"CURRENCY"	"3"	"NAME"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"CURRENCY"	"4"	"SHORT_NAME"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
"CURRENCY"	"5"	"COUNTRY_PROFILE"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"CURRENCY"	"6"	"I_CURRENCY"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CURRENCY"	"7"	"I_CURR_DIGITS"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CURRENCY"	"8"	"I_NEG_CURR"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CURRENCY"	"9"	"S_CURRENCY"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"CURRENCY"	"10"	"S_THOUSAND"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CURRENCY"	"11"	"EURO_PARTICIPANT"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"CURRENCY"	"12"	"XCHG_RATE"	"decimal"	"NULL"	"15"	"8"	"YES"	"NO"	"NO"
"CURRENCY"	"19"	"ISO_CODE"	"nvarchar"	"5"	"0"	"0"	"YES"	"NO"	"NO"
"CURRENCY"	"20"	"REPORTING_CURRENCY"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
