"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"CUSTOMER_ENTITY"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"CUSTOMER_ENTITY"	"2"	"ENTITY_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"CUSTOMER_ENTITY"	"3"	"CUSTOMER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"CUSTOMER_ENTITY"	"4"	"CREDIT_STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"CUSTOMER_ENTITY"	"5"	"CREDIT_LIMIT_CTL"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"CUSTOMER_ENTITY"	"6"	"CREDIT_LIMIT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"CUSTOMER_ENTITY"	"7"	"RECV_AGE_LIMIT"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_ENTITY"	"8"	"TOTAL_OPEN_ORDERS"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"CUSTOMER_ENTITY"	"9"	"TOTAL_OPEN_RECV"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"CUSTOMER_ENTITY"	"10"	"OPEN_ORDER_COUNT"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"CUSTOMER_ENTITY"	"11"	"OPEN_RECV_COUNT"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"CUSTOMER_ENTITY"	"12"	"CT_BEST_LOWER_PCT"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_ENTITY"	"13"	"CT_GOOD_LOWER_PCT"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_ENTITY"	"14"	"PT_DAYS"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_ENTITY"	"15"	"PT_BEST_LOWER_PCT"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_ENTITY"	"16"	"PT_GOOD_LOWER_PCT"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_ENTITY"	"17"	"OLDEST_INV_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"CUSTOMER_ENTITY"	"18"	"TOTAL_OPEN_SHIPPED"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"CUSTOMER_ENTITY"	"19"	"OPEN_OLDEST_RECV"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"CUSTOMER_ENTITY"	"20"	"SHIP_CREDIT_LIMIT_CTL"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
