"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"CUST_BOOK_DEL"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"CUST_BOOK_DEL"	"2"	"CUST_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"CUST_BOOK_DEL"	"3"	"CUST_ORDER_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"CUST_BOOK_DEL"	"4"	"DEL_SCHED_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"CUST_BOOK_DEL"	"5"	"BOOK_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"CUST_BOOK_DEL"	"6"	"DESIRED_SHIP_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"7"	"ACTUAL_SHIP_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"8"	"USER_ORDER_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"CUST_BOOK_DEL"	"9"	"ORDER_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"CUST_BOOK_DEL"	"10"	"USER_SHIPPED_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"11"	"SHIPPED_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"12"	"SHIPTO_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"13"	"RELEASE_NUMBER"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"14"	"WAREHOUSE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"15"	"ALLOCATED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"CUST_BOOK_DEL"	"16"	"FULFILLED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"CUST_BOOK_DEL"	"17"	"USER_1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"18"	"USER_2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"19"	"USER_3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"20"	"USER_4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"21"	"USER_5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"22"	"USER_6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"23"	"USER_7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"24"	"USER_8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"25"	"USER_9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"26"	"USER_10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"27"	"UDF_LAYOUT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_BOOK_DEL"	"28"	"REVISION_ID"	"nvarchar"	"8"	"0"	"0"	"YES"	"NO"	"NO"
