"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"CUST_ORDER_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"CUST_ORDER_LINE"	"2"	"CUST_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"CUST_ORDER_LINE"	"3"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"CUST_ORDER_LINE"	"4"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"5"	"CUSTOMER_PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"6"	"LINE_STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"CUST_ORDER_LINE"	"7"	"ORDER_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"CUST_ORDER_LINE"	"8"	"USER_ORDER_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"CUST_ORDER_LINE"	"9"	"SELLING_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"10"	"DESIRED_SHIP_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"11"	"UNIT_PRICE"	"decimal"	"NULL"	"22"	"8"	"NO"	"NO"	"NO"
"CUST_ORDER_LINE"	"12"	"TRADE_DISC_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"CUST_ORDER_LINE"	"13"	"EST_FREIGHT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"CUST_ORDER_LINE"	"14"	"COMMISSION_PCT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"15"	"SALES_TAX_GROUP_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"16"	"MISC_REFERENCE"	"nvarchar"	"120"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"17"	"PRODUCT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"18"	"COMMODITY_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"19"	"DRAWING_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"20"	"DRAWING_REV_NO"	"nvarchar"	"8"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"21"	"GL_REVENUE_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"22"	"MAT_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"23"	"LAB_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"24"	"BUR_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"25"	"SER_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"26"	"LAST_SHIPPED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"CUST_ORDER_LINE"	"27"	"TOTAL_ACT_FREIGHT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
