"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"DATA_EXPORT"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"DATA_EXPORT"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"DATA_EXPORT"	"3"	"TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"DATA_EXPORT"	"4"	"CONTEXT"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"DATA_EXPORT"	"5"	"START_AT"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"DATA_EXPORT"	"6"	"ABUT_PREVIOUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"DATA_EXPORT"	"7"	"DATA_EXPRESSION"	"nvarchar"	"250"	"0"	"0"	"NO"	"NO"	"NO"
"DATA_EXPORT"	"8"	"DATA_LENGTH"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"DATA_EXPORT"	"9"	"DATA_SCALE"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"DATA_EXPORT"	"10"	"DATA_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"DATA_EXPORT"	"11"	"QUOTE_DATA"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"DATA_EXPORT"	"12"	"COMMA_SEPARATE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"DATA_EXPORT"	"13"	"TERMINATE_RECORD"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"DATA_EXPORT"	"14"	"FIELD_DELIMITER"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"DATA_EXPORT"	"15"	"TEXT_QUALIFIER"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"DATA_EXPORT"	"16"	"INDENT_LVL"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"DATA_EXPORT"	"17"	"TAG"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"DATA_EXPORT"	"18"	"IS_ATTRIBUTE"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
