"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"DEMAND_SUPPLY_LINK"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"DEMAND_SUPPLY_LINK"	"2"	"ID"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"3"	"DEMAND_TYPE"	"nvarchar"	"2"	"0"	"0"	"NO"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"4"	"DEMAND_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"5"	"DEMAND_LOT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"6"	"DEMAND_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"7"	"DEMAND_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"8"	"DEMAND_SEQ_NO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"9"	"DEMAND_NO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"10"	"SUPPLY_TYPE"	"nvarchar"	"2"	"0"	"0"	"NO"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"11"	"SUPPLY_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"12"	"SUPPLY_LOT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"13"	"SUPPLY_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"14"	"SUPPLY_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"15"	"SUPPLY_SEQ_NO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"16"	"SUPPLY_NO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"17"	"WAREHOUSE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"18"	"DEMAND_PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"19"	"SUPPLY_PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"20"	"ALLOCATED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"21"	"RECEIVED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"22"	"ISSUED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"23"	"SUPPLY_MODE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"24"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"25"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"26"	"TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"27"	"REALLOCATE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"28"	"DEMAND_SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"DEMAND_SUPPLY_LINK"	"29"	"SUPPLY_SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
