"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"DOCUMENT"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"DOCUMENT"	"2"	"ID"	"nvarchar"	"80"	"0"	"0"	"NO"	"NO"	"NO"
"DOCUMENT"	"3"	"REFERENCE_TYPE"	"nvarchar"	"5"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"4"	"CATEGORY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"5"	"DESCRIPTION"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"6"	"DOC_FILE_PATH"	"nvarchar"	"255"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"7"	"ECN_REVISION"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"8"	"REVISION_ID"	"nvarchar"	"8"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"9"	"STAGE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"10"	"ECN_REV_CONTROL"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"11"	"USER_1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"12"	"USER_2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"13"	"USER_3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"14"	"USER_4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"15"	"USER_5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"16"	"USER_6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"17"	"USER_7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"18"	"USER_8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"19"	"USER_9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"20"	"USER_10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"21"	"UDF_LAYOUT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"22"	"ALLOW_EMAIL"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT"	"23"	"PATH_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"DOCUMENT"	"24"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
