"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"DOCUMENT_REF_WF"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"DOCUMENT_REF_WF"	"2"	"WORKFLOW_TYPE"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"DOCUMENT_REF_WF"	"3"	"APPLICATION_AREA"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"DOCUMENT_REF_WF"	"4"	"TEMPLATE_NAME"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"DOCUMENT_REF_WF"	"5"	"REFERENCE"	"nvarchar"	"100"	"0"	"0"	"NO"	"NO"	"NO"
"DOCUMENT_REF_WF"	"6"	"WORKFLOW_BOX_LABEL"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"DOCUMENT_REF_WF"	"7"	"DOCUMENT_ID"	"nvarchar"	"80"	"0"	"0"	"NO"	"NO"	"NO"
"DOCUMENT_REF_WF"	"8"	"SOURCE_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"DOCUMENT_REF_WF"	"9"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"DOCUMENT_REF_WF"	"10"	"doc_num"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
