"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"EC"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"EC"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"EC"	"3"	"ORIGINATOR"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"EC"	"4"	"ASSIGNED_TO"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"5"	"STATUS"	"nvarchar"	"5"	"0"	"0"	"NO"	"NO"	"NO"
"EC"	"6"	"ON_HOLD_STATUS"	"nvarchar"	"5"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"7"	"REQUEST_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"EC"	"8"	"WANT_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"EC"	"9"	"AUTH_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"EC"	"10"	"IMPL_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"EC"	"11"	"APRV_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"EC"	"12"	"DIST_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"EC"	"13"	"TYPE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"14"	"REASON"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"15"	"PRIORITY"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"EC"	"16"	"ORIGIN_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"17"	"ORIGIN_TYPE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"18"	"HAS_SUBORDINATES"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"19"	"EXT_TASKS_DONE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"20"	"REWORK_COST"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"EC"	"21"	"SCRAP_COST"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"EC"	"22"	"ECN_COST"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"EC"	"23"	"COST_COMMENT"	"nvarchar"	"254"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"24"	"CREATED_BY"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"25"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"EC"	"26"	"USER_1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"27"	"USER_2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"28"	"USER_3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"29"	"USER_4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"30"	"USER_5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"31"	"USER_6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"32"	"USER_7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"33"	"USER_8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"34"	"USER_9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"35"	"USER_10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"36"	"UDF_LAYOUT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"37"	"LOCKED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"38"	"NEXT_LINE_NO"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"EC"	"39"	"UPDATE_PART_REV"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"40"	"UPDATE_DOC_REV"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"41"	"UPDATE_LEVEL"	"nvarchar"	"5"	"0"	"0"	"YES"	"NO"	"NO"
"EC"	"42"	"STATUS_EFF_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"EC"	"43"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
