"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"ECN"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"ECN"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"ECN"	"3"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"ECN"	"4"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"ECN"	"5"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"ECN"	"6"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"ECN"	"7"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"ECN"	"8"	"STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"ECN"	"9"	"SUBJECT"	"nvarchar"	"60"	"0"	"0"	"YES"	"NO"	"NO"
"ECN"	"10"	"ORIGINATOR"	"nvarchar"	"60"	"0"	"0"	"YES"	"NO"	"NO"
"ECN"	"11"	"DIST_LIST"	"nvarchar"	"60"	"0"	"0"	"YES"	"NO"	"NO"
"ECN"	"12"	"AUTHORIZATION_1"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"ECN"	"13"	"AUTHORIZATION_2"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"ECN"	"14"	"AUTHORIZATION_3"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"ECN"	"15"	"AUTHORIZATION_4"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"ECN"	"16"	"AUTH_DATE_1"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"ECN"	"17"	"AUTH_DATE_2"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"ECN"	"18"	"AUTH_DATE_3"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"ECN"	"19"	"AUTH_DATE_4"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"ECN"	"20"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"ECN"	"21"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"ECN"	"22"	"MODIFY_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
