"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"ECN_CO_PRODUCT"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"ECN_CO_PRODUCT"	"2"	"ECN_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"ECN_CO_PRODUCT"	"3"	"LINE_NO"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"ECN_CO_PRODUCT"	"4"	"ECN_ENTRY_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"ECN_CO_PRODUCT"	"5"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"ECN_CO_PRODUCT"	"6"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"ECN_CO_PRODUCT"	"7"	"MAT_COST_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"ECN_CO_PRODUCT"	"8"	"DESIRED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"ECN_CO_PRODUCT"	"9"	"LAB_COST_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"ECN_CO_PRODUCT"	"10"	"BUR_COST_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"ECN_CO_PRODUCT"	"11"	"SER_COST_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"ECN_CO_PRODUCT"	"12"	"QTY_IS_RATIO"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"ECN_CO_PRODUCT"	"13"	"QTY_PER"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"ECN_CO_PRODUCT"	"14"	"WAREHOUSE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"ECN_CO_PRODUCT"	"15"	"WIP_VAS_REQUIRED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
