"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"ECN_DETAIL"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"ECN_DETAIL"	"2"	"ECN_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"ECN_DETAIL"	"3"	"LINE_NO"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"ECN_DETAIL"	"4"	"ENTRY_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"ECN_DETAIL"	"5"	"DETAIL_TYPE"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"ECN_DETAIL"	"6"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"ECN_DETAIL"	"7"	"OPERATION_SEQ_NO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"ECN_DETAIL"	"8"	"REQ_PIECE_NO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"ECN_DETAIL"	"9"	"CHILD_NOTIFY"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"ECN_DETAIL"	"10"	"LOCK_NOTIFY"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"ECN_DETAIL"	"11"	"ECN_ACTION"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"ECN_DETAIL"	"12"	"RESTORED"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"ECN_DETAIL"	"13"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"ECN_DETAIL"	"14"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"ECN_DETAIL"	"15"	"COMMENTS"	"nvarchar"	"250"	"0"	"0"	"YES"	"NO"	"NO"
