"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"ECN_OPERATION"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"ECN_OPERATION"	"2"	"ECN_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"ECN_OPERATION"	"3"	"LINE_NO"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"ECN_OPERATION"	"4"	"ECN_ENTRY_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"ECN_OPERATION"	"5"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"ECN_OPERATION"	"6"	"SEQUENCE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"ECN_OPERATION"	"7"	"RESOURCE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"ECN_OPERATION"	"8"	"SETUP_HRS"	"decimal"	"NULL"	"8"	"3"	"YES"	"NO"	"NO"
"ECN_OPERATION"	"9"	"RUN"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"ECN_OPERATION"	"10"	"RUN_TYPE"	"nchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"ECN_OPERATION"	"11"	"LOAD_SIZE_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"ECN_OPERATION"	"12"	"RUN_HRS"	"decimal"	"NULL"	"7"	"2"	"YES"	"NO"	"NO"
"ECN_OPERATION"	"13"	"MOVE_HRS"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"ECN_OPERATION"	"14"	"TRANSIT_DAYS"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
