"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"EQUIP_PM_SCHEDULE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"EQUIP_PM_SCHEDULE"	"2"	"job_id"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"3"	"profile_id"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"4"	"equip_id"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"5"	"eng_id"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"6"	"job_date"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"7"	"start_date"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"8"	"finish_date"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"9"	"wo_created"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"10"	"resource_id"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"11"	"wo_create_date"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"12"	"wo_status"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"13"	"workorder_base_id"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"14"	"workorder_lot_id"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"15"	"workorder_split_id"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"16"	"workorder_sub_id"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"17"	"workorder_type"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"18"	"CUST_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"19"	"CUST_ORDER_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"20"	"INVOICE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"EQUIP_PM_SCHEDULE"	"21"	"INVOICE_FLAG"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
