"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"E_CUSTSVLV_DET"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"E_CUSTSVLV_DET"	"2"	"EIS_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"3"	"ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"4"	"ORDER_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"5"	"DESIRED_SHIP_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"6"	"CUSTOMER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"7"	"NAME"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"8"	"SALESREP_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"9"	"TERRITORY"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"10"	"PO"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"11"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"12"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"13"	"DESCRIPTION"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"14"	"ORDER_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"15"	"SELLING_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"16"	"UNIT_PRICE"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"17"	"TRADE_DISC_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"18"	"TOTAL_VALUE"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"19"	"PRODUCT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"20"	"COMMODITY_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"21"	"SHIPPED_ON_TIME"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"22"	"SELL_RATE"	"decimal"	"NULL"	"15"	"8"	"YES"	"NO"	"NO"
"E_CUSTSVLV_DET"	"23"	"CURRENCY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
