"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"E_OPSSTARTS_DET"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"E_OPSSTARTS_DET"	"2"	"EIS_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"3"	"TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"4"	"BASE_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"5"	"LOT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"6"	"SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"7"	"SUB_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"8"	"SEQ_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"9"	"STATUS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"10"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"11"	"DESCRIPTION"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"12"	"DESIRED_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"13"	"PRODUCT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"14"	"COMMODITY_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"15"	"TOTAL_VALUE"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"16"	"SCHED_START_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"17"	"SCHED_FINISH_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"18"	"RESOURCE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"19"	"RESOURCE_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"20"	"SETUP_HOURS"	"decimal"	"NULL"	"7"	"2"	"YES"	"NO"	"NO"
"E_OPSSTARTS_DET"	"21"	"RUN_HOURS"	"decimal"	"NULL"	"7"	"2"	"YES"	"NO"	"NO"
