"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"E_PURCRECV_DET"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"E_PURCRECV_DET"	"2"	"EIS_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"3"	"ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"4"	"ORDER_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"5"	"DESIRED_RECV_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"6"	"STATUS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"7"	"VENDOR_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"8"	"VENDOR_NAME"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"9"	"BUYER"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"10"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"11"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"12"	"DESCRIPTION"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"13"	"USER_ORDER_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"14"	"PURCHASE_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"15"	"UNIT_PRICE"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"16"	"TRADE_DISC_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"17"	"TOTAL_AMT_RECEIVED"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"18"	"PRODUCT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"19"	"COMMODITY_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"20"	"RECEIVED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"21"	"THIS_REC_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"22"	"TODATE_REC_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"23"	"SELL_RATE"	"decimal"	"NULL"	"15"	"8"	"YES"	"NO"	"NO"
"E_PURCRECV_DET"	"24"	"CURRENCY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
