"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"GJ"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"GJ"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"GJ"	"3"	"GJ_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"GJ"	"4"	"DESCRIPTION"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"GJ"	"5"	"POSTING_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"GJ"	"6"	"TOTAL_DR_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"GJ"	"7"	"TOTAL_CR_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"GJ"	"8"	"SELL_RATE"	"decimal"	"NULL"	"15"	"8"	"NO"	"NO"	"NO"
"GJ"	"9"	"BUY_RATE"	"decimal"	"NULL"	"15"	"8"	"NO"	"NO"	"NO"
"GJ"	"10"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"GJ"	"11"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"GJ"	"12"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"GJ"	"13"	"CURRENCY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"GJ"	"14"	"POST_ALL_TRACKING"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"GJ"	"15"	"POST_AS_NATIVE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"GJ"	"16"	"USER_EXCH_RATE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"GJ"	"17"	"ALLOCATION_ID"	"nvarchar"	"5"	"0"	"0"	"YES"	"NO"	"NO"
"GJ"	"18"	"RECURRING_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"GJ"	"19"	"ACT_RATE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"GJ"	"20"	"ACT_PERIOD_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"GJ"	"21"	"RETRO_RATE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"GJ"	"22"	"RETRO_PERIOD_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"GJ"	"23"	"RETRO_RATE_CODE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"GJ"	"24"	"POSTING_CANDIDATE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
