"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"IBT"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"IBT"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"IBT"	"3"	"FROM_WHSE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"IBT"	"4"	"TO_WHSE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"IBT"	"5"	"ORDER_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"IBT"	"6"	"TRANSIT_DAYS"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"IBT"	"7"	"DESIRED_RECV_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"IBT"	"8"	"DESIRED_SHIP_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"IBT"	"9"	"BUYER"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"10"	"SHIP_VIA"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"11"	"STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"IBT"	"12"	"RECEIVED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"IBT"	"13"	"SHIPPED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"IBT"	"14"	"FREIGHT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"IBT"	"15"	"SHIP_REASON_CD"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"16"	"RETURNED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"IBT"	"17"	"CARRIER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"18"	"FREIGHT_TERMS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"19"	"MARKED_FOR_PURGE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"IBT"	"20"	"UDF_LAYOUT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"21"	"USER_1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"22"	"USER_2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"23"	"USER_3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"24"	"USER_4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"25"	"USER_5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"26"	"USER_6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"27"	"USER_7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"28"	"USER_8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"29"	"USER_9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"30"	"USER_10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"31"	"OWNER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"32"	"DISPATCHED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"33"	"CONSIGNED_XFR_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"IBT"	"34"	"CUSTOMER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"35"	"VENDOR_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"36"	"SHIP_FROM_ADDR_NO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"IBT"	"37"	"SHIP_TO_ADDR_NO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"IBT"	"38"	"CONTACT_FIRST_NAME"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"39"	"CONTACT_LAST_NAME"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"40"	"CONTACT_INITIAL"	"nvarchar"	"2"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"41"	"CONTACT_POSITION"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"42"	"CONTACT_HONORIFIC"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"43"	"CONTACT_SALUTATION"	"nvarchar"	"60"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"44"	"CONTACT_PHONE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"45"	"CONTACT_FAX"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"46"	"CONTACT_MOBILE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"47"	"CONTACT_EMAIL"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"48"	"STATUS_EFF_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"IBT"	"49"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"IBT"	"50"	"CONTACT_ID"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"IBT"	"51"	"CONTACT_PHONE_EXT"	"nvarchar"	"10"	"0"	"0"	"YES"	"NO"	"NO"
