"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"IBT_RECEIVER_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"IBT_RECEIVER_LINE"	"2"	"RECEIVER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"3"	"LINE_NO"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"4"	"IBT_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"5"	"IBT_LINE_NO"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"6"	"USER_RECEIVED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"7"	"RECEIVED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"8"	"ACT_FREIGHT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"9"	"WAREHOUSE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"10"	"LOCATION_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"11"	"IN_TRANSACTION_ID"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"12"	"OUT_TRANSACTION_ID"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"13"	"SHIPPER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"14"	"SHIPPER_LINE_NO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"15"	"PIECE_COUNT"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"16"	"LENGTH"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"17"	"WIDTH"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"18"	"HEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"IBT_RECEIVER_LINE"	"19"	"DIMENSIONS_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
