"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"INSPECTION_ORDER"	"1"	"ID"	"nvarchar"	"16"	"0"	"0"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"2"	"ENTITY_ID"	"nvarchar"	"22"	"0"	"0"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"3"	"LOCATION_ID"	"nvarchar"	"100"	"0"	"0"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"4"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"5"	"DOCUMENT_ID"	"nvarchar"	"16"	"0"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"6"	"VARIATION_ID"	"bigint"	"NULL"	"19"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"7"	"LID"	"nvarchar"	"64"	"0"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"8"	"ORDER_TYPE"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"9"	"STATUS"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"10"	"STATUS_EFF_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"11"	"QTY_RECEIVED_BASE"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"12"	"QTY_ACCEPTED_BASE"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"13"	"QTY_REJECTED_BASE"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"14"	"QTY_HOLD_BASE"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"15"	"QTY_UNIT_BASE"	"nvarchar"	"16"	"0"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"16"	"QTY_RECEIVED"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"17"	"QTY_ACCEPTED"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"18"	"QTY_REJECTED"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"19"	"QTY_HOLD"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"20"	"QTY_UNIT"	"nvarchar"	"16"	"0"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"21"	"RECEIVER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"22"	"RECEIVER_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"23"	"INV_TRANS_ID"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"24"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"25"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"26"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"27"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"28"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"29"	"OPERATION_SEQ_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"30"	"EMPLOYEE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"31"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"INSPECTION_ORDER"	"32"	"LAST_MOD_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"33"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"INSPECTION_ORDER"	"34"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
