"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"INTRA_DISPTCH_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"INTRA_DISPTCH_LINE"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"3"	"DISPATCH_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"4"	"TARIFF_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"5"	"EXCISE_PRICE"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"6"	"DELIVERY_TERMS"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"7"	"NATURE_OF_TRANS"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"8"	"NET_MASS"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"9"	"SUPP_UNITS"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"10"	"TO_COUNTRY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"11"	"FROM_COUNTRY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"12"	"ORIG_COUNTRY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"13"	"REGION_ID"	"nvarchar"	"2"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"14"	"ARRIVAL_CODE"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"15"	"TRANS_CODE"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"16"	"MODE_OF_TRANSPORT"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"17"	"NO_OF_CONSIGN"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"18"	"REFERENCE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"19"	"INTRA_REPORT_NO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"20"	"INTRA_FILENAME"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_DISPTCH_LINE"	"21"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
