"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"INTRA_SHIPPER_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"INTRA_SHIPPER_LINE"	"2"	"PACKLIST_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"INTRA_SHIPPER_LINE"	"3"	"PACKLIST_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"INTRA_SHIPPER_LINE"	"4"	"ARRIVAL_CODE"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_SHIPPER_LINE"	"5"	"TRANS_CODE"	"nvarchar"	"25"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_SHIPPER_LINE"	"6"	"TO_COUNTRY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_SHIPPER_LINE"	"7"	"FROM_COUNTRY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_SHIPPER_LINE"	"8"	"ORIG_COUNTRY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_SHIPPER_LINE"	"9"	"REGION_ID"	"nvarchar"	"2"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_SHIPPER_LINE"	"10"	"NATURE_OF_TRANS"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"INTRA_SHIPPER_LINE"	"11"	"MODE_OF_TRANSPORT"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"INTRA_SHIPPER_LINE"	"12"	"EXCISE_PRICE"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"INTRA_SHIPPER_LINE"	"13"	"TARIFF_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"INTRA_SHIPPER_LINE"	"14"	"INTRA_REPORT_NO"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"INTRA_SHIPPER_LINE"	"15"	"INTRA_FILENAME"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
