"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"INVENTORY_BALANCE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"INVENTORY_BALANCE"	"2"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"INVENTORY_BALANCE"	"3"	"POSTING_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"INVENTORY_BALANCE"	"4"	"TRANSACTION_ID"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"INVENTORY_BALANCE"	"5"	"QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"INVENTORY_BALANCE"	"6"	"FLAG"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"INVENTORY_BALANCE"	"7"	"MATERIAL_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"INVENTORY_BALANCE"	"8"	"LABOR_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"INVENTORY_BALANCE"	"9"	"BURDEN_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"INVENTORY_BALANCE"	"10"	"SERVICE_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"INVENTORY_BALANCE"	"11"	"MAT_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"INVENTORY_BALANCE"	"12"	"LAB_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"INVENTORY_BALANCE"	"13"	"BUR_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"INVENTORY_BALANCE"	"14"	"SER_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"INVENTORY_BALANCE"	"15"	"CURRENCY_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"INVENTORY_BALANCE"	"16"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
