"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"JOURNAL_BATCH"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"JOURNAL_BATCH"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"JOURNAL_BATCH"	"3"	"TYPE"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"JOURNAL_BATCH"	"4"	"BATCH_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"JOURNAL_BATCH"	"5"	"DESCRIPTION"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"JOURNAL_BATCH"	"6"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"JOURNAL_BATCH"	"7"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"JOURNAL_BATCH"	"8"	"LOCKED"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"JOURNAL_BATCH"	"9"	"DEBIT_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"JOURNAL_BATCH"	"10"	"CREDIT_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"JOURNAL_BATCH"	"11"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
