"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"NOTIFICATION_DATA"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"NOTIFICATION_DATA"	"2"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"NOTIFICATION_DATA"	"3"	"PROGRAM_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"NOTIFICATION_DATA"	"4"	"PRIMARY_KEY"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"NOTIFICATION_DATA"	"5"	"OWNER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"NOTIFICATION_DATA"	"6"	"DOC_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"NOTIFICATION_DATA"	"7"	"DOC_ID2"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"NOTIFICATION_DATA"	"8"	"DOC_ID3"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"NOTIFICATION_DATA"	"9"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"NOTIFICATION_DATA"	"10"	"EMPLOYEE_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"NOTIFICATION_DATA"	"11"	"ACTION"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"NOTIFICATION_DATA"	"12"	"EMAIL_ADDR"	"nvarchar"	"2000"	"0"	"0"	"YES"	"NO"	"NO"
