"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"OPERATION_BINARY"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"OPERATION_BINARY"	"2"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_BINARY"	"3"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_BINARY"	"4"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_BINARY"	"5"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_BINARY"	"6"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_BINARY"	"7"	"SEQUENCE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"OPERATION_BINARY"	"8"	"TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_BINARY"	"9"	"BITS"	"image"	"NULL"	"0"	"0"	"YES"	"NO"	"NO"
"OPERATION_BINARY"	"10"	"BITS_LENGTH"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
