"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"OPERATION_RESOURCE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"OPERATION_RESOURCE"	"2"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_RESOURCE"	"3"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_RESOURCE"	"4"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_RESOURCE"	"5"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_RESOURCE"	"6"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_RESOURCE"	"7"	"SEQUENCE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"OPERATION_RESOURCE"	"8"	"RESOURCE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_RESOURCE"	"9"	"TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_RESOURCE"	"10"	"PERCENT_DURATION"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"OPERATION_RESOURCE"	"11"	"JUSTIFICATION"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_RESOURCE"	"12"	"SCHEDULE_TYPE"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"OPERATION_RESOURCE"	"13"	"MIN_SEGMENT_SIZE"	"decimal"	"NULL"	"14"	"2"	"YES"	"NO"	"NO"
"OPERATION_RESOURCE"	"14"	"NUM_MEM_TO_SCHED"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"OPERATION_RESOURCE"	"15"	"SCHED_EQUAL_CAP"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"OPERATION_RESOURCE"	"16"	"SCHED_START_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"OPERATION_RESOURCE"	"17"	"SCHED_FINISH_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"OPERATION_RESOURCE"	"18"	"SCHED_CAPACITY_USAGE"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
