"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"OPERATION_SUMMARY"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"OPERATION_SUMMARY"	"2"	"SPID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_SUMMARY"	"3"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_SUMMARY"	"4"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_SUMMARY"	"5"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_SUMMARY"	"6"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_SUMMARY"	"7"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_SUMMARY"	"8"	"SEQUENCE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"OPERATION_SUMMARY"	"9"	"EST_ATL_LAB_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"OPERATION_SUMMARY"	"10"	"EST_ATL_BUR_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"OPERATION_SUMMARY"	"11"	"EST_ATL_SER_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"OPERATION_SUMMARY"	"12"	"REM_ATL_LAB_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"OPERATION_SUMMARY"	"13"	"REM_ATL_BUR_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"OPERATION_SUMMARY"	"14"	"REM_ATL_SER_COST"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"OPERATION_SUMMARY"	"15"	"RUN_HRS"	"decimal"	"NULL"	"7"	"2"	"YES"	"NO"	"NO"
"OPERATION_SUMMARY"	"16"	"STATUS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"OPERATION_SUMMARY"	"17"	"SETUP_COMPLETED"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
