"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"OPERATION_TYPE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"OPERATION_TYPE"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"OPERATION_TYPE"	"3"	"DESCRIPTION"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"4"	"RESOURCE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"5"	"SETUP_HRS"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"6"	"RUN"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"7"	"RUN_TYPE"	"nchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"8"	"LOAD_SIZE_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"9"	"MOVE_HRS"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"10"	"SERVICE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"11"	"TRANSIT_DAYS"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"12"	"SCRAP_YIELD_PCT"	"decimal"	"NULL"	"5"	"2"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"13"	"SCRAP_YIELD_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"14"	"FIXED_SCRAP_UNITS"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"15"	"MINIMUM_MOVE_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"16"	"CALC_START_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"17"	"CALC_END_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"18"	"OVERRIDE_QTYS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"19"	"BEGIN_TRACEABILITY"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"20"	"TEST_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"21"	"SETUP_COST_PER_HR"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"22"	"RUN_COST_PER_HR"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"23"	"BUR_PER_HR_SETUP"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"24"	"BUR_PER_HR_RUN"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"25"	"SERVICE_BASE_CHG"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"26"	"BUR_PERCENT_SETUP"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"27"	"BUR_PERCENT_RUN"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"28"	"BUR_PER_OPERATION"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"29"	"CAPACITY_USAGE_MAX"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"30"	"CAPACITY_USAGE_MIN"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"31"	"SCHEDULE_TYPE"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"32"	"MIN_SEGMENT_SIZE"	"decimal"	"NULL"	"14"	"2"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"33"	"SERVICE_MIN_CHG"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"34"	"VENDOR_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"35"	"VENDOR_SERVICE_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"36"	"SERVICE_PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"37"	"BUR_PER_UNIT_RUN"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"38"	"RUN_COST_PER_UNIT"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"OPERATION_TYPE"	"39"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
