"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"OPER_SERVICE_COST"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"OPER_SERVICE_COST"	"2"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"OPER_SERVICE_COST"	"3"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"OPER_SERVICE_COST"	"4"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"OPER_SERVICE_COST"	"5"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"OPER_SERVICE_COST"	"6"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"NO"	"NO"	"NO"
"OPER_SERVICE_COST"	"7"	"OPERATION_SEQ_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"OPER_SERVICE_COST"	"8"	"QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"OPER_SERVICE_COST"	"9"	"UNIT_COST"	"decimal"	"NULL"	"22"	"8"	"NO"	"NO"	"NO"
"OPER_SERVICE_COST"	"10"	"BASE_CHARGE"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"OPER_SERVICE_COST"	"11"	"MINIMUM_CHARGE"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"OPER_SERVICE_COST"	"12"	"LEADTIME"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
