"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"PALLET"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"PALLET"	"2"	"ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"PALLET"	"3"	"BOL_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"PALLET"	"4"	"TARE_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PALLET"	"5"	"PACKAGE_TYPE"	"nvarchar"	"5"	"0"	"0"	"YES"	"NO"	"NO"
"PALLET"	"6"	"CARTON_COUNT"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"PALLET"	"7"	"QTY_PER_CARTON"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"PALLET"	"8"	"SHIPPING_WEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"PALLET"	"9"	"USER_SHIP_WEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"PALLET"	"10"	"WEIGHT_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
