"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"PART_SHIPPING"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"PART_SHIPPING"	"2"	"CUSTOMER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PART_SHIPPING"	"3"	"SHIPTO_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"PART_SHIPPING"	"4"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"PART_SHIPPING"	"5"	"CONTAINER_PART_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"PART_SHIPPING"	"6"	"CONTAINER_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PART_SHIPPING"	"7"	"CONTAINER_WEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"PART_SHIPPING"	"8"	"STD_PCS_CONTAINER"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"PART_SHIPPING"	"9"	"SKID_PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PART_SHIPPING"	"10"	"SKID_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PART_SHIPPING"	"11"	"SKID_WEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"PART_SHIPPING"	"12"	"STD_CONTAINER_SKID"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"PART_SHIPPING"	"13"	"CONTAINER_TYPE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"PART_SHIPPING"	"14"	"DEFAULT_CONTAINER"	"nvarchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"PART_SHIPPING"	"15"	"CUST_SHIP_PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PART_SHIPPING"	"16"	"PACKAGE_TYPE"	"nvarchar"	"5"	"0"	"0"	"YES"	"NO"	"NO"
"PART_SHIPPING"	"17"	"CREATE_INV_TRANS"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"PART_SHIPPING"	"18"	"DOCK_CODE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
