"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"PAYABLE_INST"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"PAYABLE_INST"	"2"	"VOUCHER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PAYABLE_INST"	"3"	"INST_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"PAYABLE_INST"	"4"	"DUE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"PAYABLE_INST"	"5"	"TOTAL_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"PAYABLE_INST"	"6"	"PAID_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PAYABLE_INST"	"7"	"LAST_PAID_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"PAYABLE_INST"	"8"	"ZERO_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"PAYABLE_INST"	"9"	"PAY_STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"PAYABLE_INST"	"10"	"PAYMENT_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"PAYABLE_INST"	"11"	"AUTHORIZED_PAYMENT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
