"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"PAYABLE_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"PAYABLE_LINE"	"2"	"VOUCHER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PAYABLE_LINE"	"3"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"PAYABLE_LINE"	"4"	"REFERENCE"	"nvarchar"	"250"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"5"	"PURC_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"6"	"PURC_ORDER_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"7"	"RECEIVER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"8"	"RECEIVER_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"9"	"QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"10"	"AMOUNT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"PAYABLE_LINE"	"11"	"VAT_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"12"	"VAT_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"13"	"VAT_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"14"	"FIXED_CHARGE"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"PAYABLE_LINE"	"15"	"DISC_ALLOWED"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"PAYABLE_LINE"	"16"	"GL_ACCOUNT_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"PAYABLE_LINE"	"17"	"PO_ACT_FREIGHT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"18"	"PO_RECV_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"19"	"PO_DISC_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"20"	"PO_GL_ACCOUNT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"21"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"22"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"23"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"24"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"25"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"26"	"COST_CATEGORY"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"PAYABLE_LINE"	"27"	"VAT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"28"	"VAT_RCV_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"29"	"VAT_RCV_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"30"	"VAT_RCV_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"31"	"WITHHOLD_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"32"	"PO_UNIT_PRICE"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"33"	"HTS_CODE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"34"	"ORIG_COUNTRY_ID"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"35"	"DUTY_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"36"	"DUTY_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"37"	"DUTY_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"38"	"vat_category"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"39"	"WBS_CODE"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"40"	"PROJECT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"41"	"GL_OVERRIDE_ACCT"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"42"	"COST_CATEGORY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"43"	"DEPARTMENT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"44"	"PROJ_REF_SEQ_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"45"	"PROJ_REF_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"46"	"ACT_BURDEN_COST"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"47"	"ACT_PO_UNIT_PRICE"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"48"	"FT_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"49"	"USER_DIMENSION_1"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"50"	"USER_DIMENSION_2"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"51"	"CUST_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"52"	"PRODUCT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PAYABLE_LINE"	"53"	"VAT_IE_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
