"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"PLANNING_CALENDAR"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"PLANNING_CALENDAR"	"2"	"CALENDAR_NO"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"PLANNING_CALENDAR"	"3"	"DESCRIPTION"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"PLANNING_CALENDAR"	"4"	"BEGIN_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"PLANNING_CALENDAR"	"5"	"PLANNING_SIZE"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"PLANNING_CALENDAR"	"6"	"PLANNING_HORIZON"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"PLANNING_CALENDAR"	"7"	"RANGE_1_COUNT"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"PLANNING_CALENDAR"	"8"	"RANGE_1_SIZE"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"PLANNING_CALENDAR"	"9"	"RANGE_2_COUNT"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"PLANNING_CALENDAR"	"10"	"RANGE_2_SIZE"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"PLANNING_CALENDAR"	"11"	"RANGE_3_COUNT"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"PLANNING_CALENDAR"	"12"	"RANGE_3_SIZE"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
