"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"PROCESS_TYPE_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"PROCESS_TYPE_LINE"	"2"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PROCESS_TYPE_LINE"	"3"	"PROCESS_TYPE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PROCESS_TYPE_LINE"	"4"	"PROCESS"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PROCESS_TYPE_LINE"	"5"	"DESCRIPTION"	"nvarchar"	"120"	"0"	"0"	"YES"	"NO"	"NO"
"PROCESS_TYPE_LINE"	"6"	"SEQUENCE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"PROCESS_TYPE_LINE"	"7"	"DOCUMENT_TYPE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"PROCESS_TYPE_LINE"	"8"	"STANDARD_DAYS"	"decimal"	"NULL"	"14"	"2"	"NO"	"NO"	"NO"
"PROCESS_TYPE_LINE"	"9"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"PROCESS_TYPE_LINE"	"10"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
