"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"PROGRAM_NAME"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"PROGRAM_NAME"	"2"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"PROGRAM_NAME"	"3"	"MENU_ID"	"nvarchar"	"40"	"0"	"0"	"NO"	"NO"	"NO"
"PROGRAM_NAME"	"4"	"SEQ_NO"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"PROGRAM_NAME"	"5"	"PROGRAM_ID"	"nvarchar"	"40"	"0"	"0"	"NO"	"NO"	"NO"
"PROGRAM_NAME"	"6"	"SUB_HEADING"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"PROGRAM_NAME"	"7"	"MENU_TEXT"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"PROGRAM_NAME"	"8"	"TOOLTIP"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"PROGRAM_NAME"	"9"	"HIDE_ENTRY"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"PROGRAM_NAME"	"10"	"EXECUTE_COMMAND"	"nvarchar"	"250"	"0"	"0"	"YES"	"NO"	"NO"
"PROGRAM_NAME"	"11"	"ICON"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
