"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"PROJECT_DIST"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"PROJECT_DIST"	"2"	"PROJECT_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"3"	"SOURCE_TYPE"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"4"	"SOURCE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"5"	"DIST_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"6"	"ENTRY_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"7"	"PROJECT_SUMMARY_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"8"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"9"	"AMOUNT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"10"	"AMOUNT_TYPE"	"nchar"	"2"	"0"	"0"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"11"	"GL_ACCOUNT_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"12"	"POSTING_STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"13"	"POSTING_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"14"	"SOURCE_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"PROJECT_DIST"	"15"	"SOURCE_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"PROJECT_DIST"	"16"	"SOURCE_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"PROJECT_DIST"	"17"	"BATCH_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PROJECT_DIST"	"18"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"19"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"20"	"CURRENCY_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PROJECT_DIST"	"21"	"NATIVE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"PROJECT_DIST"	"22"	"HOURS"	"decimal"	"NULL"	"15"	"2"	"YES"	"NO"	"NO"
