"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"PROJ_DIST_DETAIL"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"PROJ_DIST_DETAIL"	"2"	"PROJECT_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"3"	"SOURCE_TYPE"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"4"	"SOURCE_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"5"	"SOURCE_TRANS_ID"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"6"	"SOURCE_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"7"	"DIST_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"8"	"PROJECT_SUMMARY_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"9"	"SOURCE_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"10"	"SOURCE_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"11"	"SOURCE_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"12"	"ACT_MATERIAL_COST"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"13"	"ACT_LABOR_COST"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"14"	"ACT_BURDEN_COST"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"15"	"ACT_SERVICE_COST"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"16"	"CURRENCY_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"17"	"REFERENCE"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"PROJ_DIST_DETAIL"	"18"	"ACT_HOURS"	"decimal"	"NULL"	"15"	"2"	"YES"	"NO"	"NO"
