"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"PURC_MATL_DETAIL"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"PURC_MATL_DETAIL"	"2"	"PURC_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PURC_MATL_DETAIL"	"3"	"DIST_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"PURC_MATL_DETAIL"	"4"	"TRANSACTION_ID"	"int"	"NULL"	"10"	"0"	"NO"	"NO"	"NO"
"PURC_MATL_DETAIL"	"5"	"PURC_ORDER_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"PURC_MATL_DETAIL"	"6"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_MATL_DETAIL"	"7"	"ACT_MATERIAL_COST"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PURC_MATL_DETAIL"	"8"	"ACT_LABOR_COST"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PURC_MATL_DETAIL"	"9"	"ACT_BURDEN_COST"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PURC_MATL_DETAIL"	"10"	"ACT_SERVICE_COST"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PURC_MATL_DETAIL"	"11"	"REFERENCE"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_MATL_DETAIL"	"12"	"CURRENCY_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PURC_MATL_DETAIL"	"13"	"DR_MAT_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_MATL_DETAIL"	"14"	"DR_LAB_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_MATL_DETAIL"	"15"	"DR_BUR_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_MATL_DETAIL"	"16"	"DR_SER_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_MATL_DETAIL"	"17"	"CR_MAT_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_MATL_DETAIL"	"18"	"CR_LAB_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_MATL_DETAIL"	"19"	"CR_BUR_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_MATL_DETAIL"	"20"	"CR_SER_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
