"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"PURC_ORDER_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"PURC_ORDER_LINE"	"2"	"PURC_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"3"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"4"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"5"	"VENDOR_PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"6"	"SERVICE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"7"	"USER_ORDER_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"8"	"ORDER_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"9"	"PURCHASE_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"10"	"UNIT_PRICE"	"decimal"	"NULL"	"22"	"8"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"11"	"TRADE_DISC_PERCENT"	"decimal"	"NULL"	"6"	"3"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"12"	"FIXED_CHARGE"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"13"	"EST_FREIGHT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"14"	"GL_EXPENSE_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"15"	"SALES_TAX_GROUP_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"16"	"PRODUCT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"17"	"COMMODITY_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"18"	"DESIRED_RECV_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"19"	"LINE_STATUS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"20"	"LAST_RECEIVED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"21"	"TOTAL_ACT_FREIGHT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"22"	"TOTAL_USR_RECD_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"23"	"TOTAL_RECEIVED_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"24"	"TOTAL_AMT_RECVD"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"25"	"TOTAL_AMT_ORDERED"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"26"	"MFG_NAME"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"27"	"MFG_PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"28"	"PROMISE_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"29"	"PIECE_COUNT"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"30"	"LENGTH"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"31"	"WIDTH"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"32"	"HEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"33"	"DIMENSIONS_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"34"	"VAT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"35"	"TOTAL_DISPATCH_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"36"	"TOTAL_USR_DISP_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"PURC_ORDER_LINE"	"37"	"MINIMUM_CHARGE"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"38"	"LAST_DISPATCH_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"39"	"EDI_BLANKET_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"40"	"EDI_BLANKET_USRQTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"41"	"EDI_ACCUM_QTY_REL"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"42"	"EDI_ACCUM_USR_REL"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"43"	"EDI_ACCUM_QTY_REC"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"44"	"EDI_ACCUM_USR_REC"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"PURC_ORDER_LINE"	"45"	"EDI_LAST_REC_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
