"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"PURC_REQ_LINE_DEL"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"PURC_REQ_LINE_DEL"	"2"	"PURC_REQ_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"3"	"PURC_REQ_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"4"	"DEL_SCHED_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"5"	"DESIRED_RECV_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"6"	"USER_ORDER_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"7"	"ORDER_QTY"	"decimal"	"NULL"	"20"	"8"	"NO"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"8"	"SHIPTO_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"9"	"SHIPFROM_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"10"	"USER_RECEIVED_QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"11"	"PIECE_COUNT"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"12"	"WAREHOUSE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"13"	"USER_1"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"14"	"USER_2"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"15"	"USER_3"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"16"	"USER_4"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"17"	"USER_5"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"18"	"USER_6"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"19"	"USER_7"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"20"	"USER_8"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"21"	"USER_9"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"PURC_REQ_LINE_DEL"	"22"	"USER_10"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
