"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"QUOTED_OPTIONS"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"QUOTED_OPTIONS"	"2"	"QUOTE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"QUOTED_OPTIONS"	"3"	"QUOTE_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"QUOTED_OPTIONS"	"4"	"SEQ_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"QUOTED_OPTIONS"	"5"	"TYPE"	"nchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"6"	"RQD_OPT"	"nchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"7"	"STD_OPT"	"nchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"8"	"SERIES_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"9"	"SERIES_DESCR"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"10"	"MODEL_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"11"	"MODEL_DESCR"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"12"	"SALES_CODE"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"13"	"SALES_CODE_DESCR"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"14"	"CATEGORY_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"15"	"CATEGORY_DESCR"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"16"	"USER_TEXT"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"17"	"DIM_UM_0"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"18"	"DIM_VALUE_0"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"19"	"DIM_UM_1"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"20"	"DIM_VALUE_1"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"21"	"DIM_UM_2"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"22"	"DIM_VALUE_2"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"23"	"DIM_UM_3"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"24"	"DIM_VALUE_3"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"25"	"QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"26"	"TRADE_DISCOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"27"	"DISCOUNT_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"28"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"29"	"ENG_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"30"	"COPY_SEQ_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"QUOTED_OPTIONS"	"31"	"UNIT_PRICE"	"decimal"	"NULL"	"22"	"8"	"YES"	"NO"	"NO"
