"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"QUOTE_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"QUOTE_LINE"	"2"	"QUOTE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"QUOTE_LINE"	"3"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"QUOTE_LINE"	"4"	"PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"5"	"DESCRIPTION"	"nvarchar"	"120"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"6"	"CUSTOMER_PART_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"7"	"WORKORDER_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"8"	"WORKORDER_BASE_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"9"	"WORKORDER_LOT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"10"	"WORKORDER_SPLIT_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"11"	"WORKORDER_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"12"	"DRAWING_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"13"	"DRAWING_REV_NO"	"nvarchar"	"8"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"14"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"QUOTE_LINE"	"15"	"PRODUCT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"16"	"COMMODITY_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"17"	"SERVICE_CHARGE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"18"	"USER_1"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"19"	"USER_2"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"20"	"USER_3"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"21"	"USER_4"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"22"	"USER_5"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"23"	"USER_6"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"24"	"USER_7"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"25"	"USER_8"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"26"	"USER_9"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"27"	"USER_10"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"28"	"UDF_LAYOUT_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"29"	"ORIG_STAGE_REVISION_ID"	"nvarchar"	"24"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"30"	"PRICE_NOTE"	"nvarchar"	"255"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"31"	"DISCOUNT_NOTE"	"nvarchar"	"255"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"32"	"FREIGHT_NOTE"	"nvarchar"	"255"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"33"	"COMMISSION_NOTE"	"nvarchar"	"255"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"34"	"WBS_CODE"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"35"	"WBS_DESCRIPTION"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"36"	"WBS_CLIN"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"37"	"PROJ_REF_SUB_ID"	"nvarchar"	"3"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"38"	"PROJ_REF_SEQ_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"39"	"LENGTH"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"40"	"WIDTH"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"41"	"HEIGHT"	"decimal"	"NULL"	"14"	"4"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"42"	"DIMENSIONS_UM"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"QUOTE_LINE"	"43"	"PRICE_GROUP_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
