"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"RCR_GJ"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"RCR_GJ"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"RCR_GJ"	"3"	"DESCRIPTION"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"RCR_GJ"	"4"	"TOTAL_DR_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"RCR_GJ"	"5"	"TOTAL_CR_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"RCR_GJ"	"6"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"RCR_GJ"	"7"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"RCR_GJ"	"8"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"RCR_GJ"	"9"	"CURRENCY_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"RCR_GJ"	"10"	"POST_ALL_TRACKING"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"RCR_GJ"	"11"	"POST_AS_NATIVE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"RCR_GJ"	"12"	"USER_EXCH_RATE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"RCR_GJ"	"13"	"REVERSING"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"RCR_GJ"	"14"	"AUTO_PROCESS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"RCR_GJ"	"15"	"TRIGGER_FREQ"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"RCR_GJ"	"16"	"TRIGGER_DAY"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"RCR_GJ"	"17"	"TRIGGER_MAX"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"RCR_GJ"	"18"	"TRIGGER_COUNT"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"RCR_GJ"	"19"	"TRIGGER_LAST_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"RCR_GJ"	"20"	"GROUP_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RCR_GJ"	"21"	"LAST_EXECUTED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
