"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"RCR_RECV_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"RCR_RECV_LINE"	"2"	"RCR_RECEIVABLE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"RCR_RECV_LINE"	"3"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"RCR_RECV_LINE"	"4"	"REFERENCE"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"RCR_RECV_LINE"	"5"	"QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RCR_RECV_LINE"	"6"	"AMOUNT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"RCR_RECV_LINE"	"7"	"VAT_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"RCR_RECV_LINE"	"8"	"VAT_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"RCR_RECV_LINE"	"9"	"VAT_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"RCR_RECV_LINE"	"10"	"COMM"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"RCR_RECV_LINE"	"11"	"GL_ACCOUNT_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"RCR_RECV_LINE"	"12"	"VAT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RCR_RECV_LINE"	"13"	"VAT_RCV_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"RCR_RECV_LINE"	"14"	"VAT_RCV_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"RCR_RECV_LINE"	"15"	"VAT_RCV_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"RCR_RECV_LINE"	"16"	"vat_category"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RCR_RECV_LINE"	"17"	"COMMISSION_PCT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"RCR_RECV_LINE"	"18"	"USER_DIMENSION_1"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RCR_RECV_LINE"	"19"	"USER_DIMENSION_2"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RCR_RECV_LINE"	"20"	"PRODUCT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
