"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"RECEIVABLE_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"RECEIVABLE_LINE"	"2"	"INVOICE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"RECEIVABLE_LINE"	"3"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"RECEIVABLE_LINE"	"4"	"REFERENCE"	"nvarchar"	"120"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"5"	"QTY"	"decimal"	"NULL"	"20"	"8"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"6"	"AMOUNT"	"decimal"	"NULL"	"23"	"8"	"NO"	"NO"	"NO"
"RECEIVABLE_LINE"	"7"	"VAT_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"8"	"VAT_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"9"	"VAT_GL_ACCT_ID"	"nvarchar"	"30"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"10"	"GL_ACCOUNT_ID"	"nvarchar"	"30"	"0"	"0"	"NO"	"NO"	"NO"
"RECEIVABLE_LINE"	"11"	"COMMISSION_PCT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"12"	"CUST_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"13"	"CUST_ORDER_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"14"	"PACKLIST_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"15"	"PACKLIST_LINE_NO"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"16"	"VAT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"17"	"HTS_CODE"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"18"	"ORIG_COUNTRY_ID"	"nvarchar"	"50"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"19"	"DUTY_PERCENT"	"decimal"	"NULL"	"6"	"3"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"20"	"DUTY_AMOUNT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"21"	"vat_category"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"22"	"FT_TYPE"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"23"	"PREPAY_APPLIED_AMT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"24"	"PREPAY_APPLIED_VAT"	"decimal"	"NULL"	"23"	"8"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"25"	"PREPAY_INVOICE_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"26"	"USER_DIMENSION_1"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"27"	"USER_DIMENSION_2"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVABLE_LINE"	"28"	"PRODUCT_CODE"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
