"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"RECEIVER"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"RECEIVER"	"2"	"ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"RECEIVER"	"3"	"PURC_ORDER_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"RECEIVER"	"4"	"RECEIVED_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"RECEIVER"	"5"	"CREATE_DATE"	"datetime"	"NULL"	"23"	"3"	"NO"	"NO"	"NO"
"RECEIVER"	"6"	"USER_ID"	"nvarchar"	"20"	"0"	"0"	"NO"	"NO"	"NO"
"RECEIVER"	"7"	"MARKED_FOR_PURGE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"RECEIVER"	"8"	"SHIP_REASON_CD"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVER"	"9"	"CARRIER_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVER"	"10"	"BOL_ID"	"nvarchar"	"20"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVER"	"11"	"VEND_PACK_ID"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVER"	"12"	"VEND_PACK_DATE"	"datetime"	"NULL"	"23"	"3"	"YES"	"NO"	"NO"
"RECEIVER"	"13"	"VEND_FREIGHT_ID"	"nvarchar"	"40"	"0"	"0"	"YES"	"NO"	"NO"
"RECEIVER"	"14"	"SITE_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
