"TableName"	"ColumnOrdinal"	"ColumnName"	"DataType"	"MaxLength"	"Precision"	"Scale"	"IsNullable"	"IsIdentity"	"IsComputed"
"REPORT_LINE"	"1"	"ROWID"	"int"	"NULL"	"10"	"0"	"NO"	"YES"	"NO"
"REPORT_LINE"	"2"	"REPORT_ID"	"nvarchar"	"15"	"0"	"0"	"NO"	"NO"	"NO"
"REPORT_LINE"	"3"	"LINE_NO"	"smallint"	"NULL"	"5"	"0"	"NO"	"NO"	"NO"
"REPORT_LINE"	"4"	"TYPE"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"REPORT_LINE"	"5"	"ACCOUNT_ID_RANGE"	"nvarchar"	"250"	"0"	"0"	"YES"	"NO"	"NO"
"REPORT_LINE"	"6"	"ALTERNATE_DESCR"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"REPORT_LINE"	"7"	"EXPLODE_TO_LEVEL"	"smallint"	"NULL"	"5"	"0"	"YES"	"NO"	"NO"
"REPORT_LINE"	"8"	"SITE_ID_RANGE"	"nvarchar"	"250"	"0"	"0"	"YES"	"NO"	"NO"
"REPORT_LINE"	"9"	"SECTION_BREAK"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"REPORT_LINE"	"10"	"SECTION_TITLE"	"nvarchar"	"80"	"0"	"0"	"YES"	"NO"	"NO"
"REPORT_LINE"	"11"	"PRINT_CODE"	"int"	"NULL"	"10"	"0"	"YES"	"NO"	"NO"
"REPORT_LINE"	"12"	"SEND_DATA"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"REPORT_LINE"	"13"	"BEGIN_PERIOD_ARRAY"	"nvarchar"	"250"	"0"	"0"	"YES"	"NO"	"NO"
"REPORT_LINE"	"14"	"BEGIN_YEAR_ARRAY"	"nvarchar"	"250"	"0"	"0"	"YES"	"NO"	"NO"
"REPORT_LINE"	"15"	"END_PERIOD_ARRAY"	"nvarchar"	"250"	"0"	"0"	"YES"	"NO"	"NO"
"REPORT_LINE"	"16"	"END_YEAR_ARRAY"	"nvarchar"	"250"	"0"	"0"	"YES"	"NO"	"NO"
"REPORT_LINE"	"17"	"PERSISTENT_ARRAY"	"nvarchar"	"250"	"0"	"0"	"YES"	"NO"	"NO"
"REPORT_LINE"	"18"	"SHOW_TRANSACTIONS"	"nchar"	"1"	"0"	"0"	"NO"	"NO"	"NO"
"REPORT_LINE"	"19"	"ADD_LINE_ABOVE_TTL"	"nchar"	"1"	"0"	"0"	"YES"	"NO"	"NO"
"REPORT_LINE"	"20"	"CALENDAR_ID"	"nvarchar"	"15"	"0"	"0"	"YES"	"NO"	"NO"
